playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0014,Qewei Mk XCV,#0077,Vucarro v33.11,6,0,3,0
#0053,Zostea,#0047,Futis,6,3,0,0
#0044,Wunus,#0092,Yestea,6,3,0,0
#0006,Sophus,#0032,Later,6,1,2,0
#0107,Danov,#0042,Potera,6,3,0,0
#0020,Humia,#0046,Henerth Mk VIII,6,3,0,0
#0018,Buwei,#0066,Ferilia,6,1,2,0
#0075,Jenides,#0067,Rozuno,6,2,1,0
#0029,Nehiri,#0052,Qustea,6,2,1,0
#0070,Qunus,#0090,Gohiri,6,1,2,0
#0008,Tepra,#0060,Tonides,6,3,0,0
#0097,Foter,#0117,Cethea,6,2,1,0
#0120,Waria v41.6,#0034,Pucury v46.28,6,3,0,0
#0054,Halea v22.63,#0059,Qewei,6,2,1,0
#0005,Cotania,#0115,Lethea Mk XCVII,6,0,3,0
#0078,Zuter,#0025,Iapra,6,1,2,0
#0010,Xocury,#0050,Dovis v46.22,6,3,0,0
#0104,Nutera,#0016,Purilia Mk XXXV,6,2,1,0
#0086,Peturn,#0105,Nalea v36.5,6,0,3,0
#0093,Megantu,#0068,Fucury,6,2,1,0
#0038,Selia,#0033,Lacarro,6,1,2,0
#0121,Sugantu,#0012,Yutera Mk LXXXIV,6,3,0,0
#0101,Fabos,#0084,Iuzuno,6,0,3,0
#0023,Manope Mk XXXVII,#0072,Xulia,6,3,0,0
#0011,Wuwei v12.30,#0073,Vophus,6,1,2,0
#0045,Futer,#0009,Relia v12.42,6,1,2,0
#0051,Xaturn,#0004,Pecury,6,1,2,0
#0102,Huyama,#0019,Iavis v40.72,7,2,1,0
#0049,Ronus v28.11,#0074,Petania Mk LXXXVII,7,1,2,0
#0056,Wahiri Mk LXXIV,#0091,Qalea,7,2,1,0
#0081,Wustea Mk LXXXVI,#0082,Qaturn,7,3,0,0
#0035,Haruta Mk XLIX,#0110,Keclite,7,1,2,0
