uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
Rugawa vs Ianov,#0001,Ianov,0,1,6,269,4,396,1600,900
Rugawa vs Ianov,#0001,Rugawa,0,-1,2,0,0,489,1600,900
Rugawa vs Ianov,#0001,Ianov,0,1,6,326,4,489,1600,900
Qewei Mk XCV vs Xotune v29.73,#0014,Qewei Mk XCV,0,-1,5,0,0,450,1600,900
Qewei Mk XCV vs Xotune v29.73,#0001,Xotune v29.73,0,1,6,144,1,450,1600,900
Qewei Mk XCV vs Xotune v29.73,#0014,Qewei Mk XCV,0,-1,3,0,0,444,1600,900
Qewei Mk XCV vs Xotune v29.73,#0001,Xotune v29.73,0,1,6,181,3,444,1600,900
Qewei Mk XCV vs Xotune v29.73,#0014,Qewei Mk XCV,0,-1,0,0,0,232,1600,900
Qewei Mk XCV vs Xotune v29.73,#0001,Xotune v29.73,0,1,6,382,6,232,1600,900
Rozuno vs Pucury v46.28,#0001,Rozuno,0,1,6,145,3,387,1600,900
Rozuno vs Pucury v46.28,#0001,Pucury v46.28,0,-1,3,0,0,387,1600,900
Rozuno vs Pucury v46.28,#0001,Rozuno,0,1,6,121,3,431,1600,900
Rozuno vs Pucury v46.28,#0001,Pucury v46.28,0,-1,3,0,0,431,1600,900
Rozuno vs Pucury v46.28,#0001,Rozuno,0,-1,3,0,0,430,1600,900
Rozuno vs Pucury v46.28,#0001,Pucury v46.28,0,1,6,183,3,430,1600,900
Yocarro Mk XLVII vs Futis,#0022,Yocarro Mk XLVII,0,1,6,261,4,298,1600,900
Yocarro Mk XLVII vs Futis,#0002,Futis,0,-1,2,0,0,298,1600,900
Yocarro Mk XLVII vs Futis,#0022,Yocarro Mk XLVII,0,1,6,298,5,245,1600,900
Yocarro Mk XLVII vs Futis,#0002,Futis,0,-1,1,0,0,245,1600,900
Yocarro Mk XLVII vs Futis,#0022,Yocarro Mk XLVII,0,1,6,159,5,303,1600,900
Yocarro Mk XLVII vs Futis,#0002,Futis,0,-1,1,0,0,303,1600,900
Megantu vs Funerth,#0001,Megantu,0,-1,1,0,0,265,1600,900
Megantu vs Funerth,#0001,Funerth,0,1,6,310,5,265,1600,900
Megantu vs Funerth,#0001,Megantu,0,-1,2,0,0,251,1600,900
Megantu vs Funerth,#0001,Funerth,0,1,6,249,4,251,1600,900
Megantu vs Funerth,#0001,Megantu,0,-1,2,0,0,245,1600,900
Megantu vs Funerth,#0001,Funerth,0,1,6,313,4,245,1600,900
Wuter Mk XVII vs Sulara v35.90,#0002,Wuter Mk XVII,0,-1,5,0,0,978,1600,900
Wuter Mk XVII vs Sulara v35.90,#0002,Sulara v35.90,0,1,6,58,1,978,1600,900
Wuter Mk XVII vs Sulara v35.90,#0002,Wuter Mk XVII,0,-1,2,0,0,347,1600,900
Wuter Mk XVII vs Sulara v35.90,#0002,Sulara v35.90,0,1,6,174,4,347,1600,900
Wuter Mk XVII vs Sulara v35.90,#0002,Wuter Mk XVII,0,-1,2,0,0,290,1600,900
Wuter Mk XVII vs Sulara v35.90,#0002,Sulara v35.90,0,1,6,407,4,290,1600,900
Qewei vs Cotania,#0003,Qewei,0,1,6,93,3,595,1600,900
Qewei vs Cotania,#0005,Cotania,0,-1,3,0,0,595,1600,900
Qewei vs Cotania,#0003,Qewei,0,1,6,90,3,406,1600,900
Qewei vs Cotania,#0005,Cotania,0,-1,3,0,0,406,1600,900
Qewei vs Cotania,#0003,Qewei,0,1,6,123,2,312,1600,900
Qewei vs Cotania,#0005,Cotania,0,-1,4,0,0,312,1600,900
Wustea Mk LXXXVI vs Honov,#0003,Wustea Mk LXXXVI,0,1,6,488,5,312,1600,900
Wustea Mk LXXXVI vs Honov,#0015,Honov,0,-1,1,0,0,312,1600,900
Wustea Mk LXXXVI vs Honov,#0003,Wustea Mk LXXXVI,0,1,6,471,5,414,1600,900
Wustea Mk LXXXVI vs Honov,#0015,Honov,0,-1,1,0,0,414,1600,900
Wustea Mk LXXXVI vs Honov,#0003,Wustea Mk LXXXVI,0,1,6,402,6,274,1600,900
Wustea Mk LXXXVI vs Honov,#0015,Honov,0,-1,0,0,0,274,1600,900
Nehiri vs Xotune v29.73,#0001,Nehiri,0,-1,1,0,0,679,1600,900
Nehiri vs Xotune v29.73,#0001,Xotune v29.73,0,1,6,401,5,679,1600,900
Nehiri vs Xotune v29.73,#0001,Nehiri,0,1,6,229,4,974,1600,900
Nehiri vs Xotune v29.73,#0001,Xotune v29.73,0,-1,2,0,0,974,1600,900
Nehiri vs Xotune v29.73,#0001,Nehiri,0,-1,1,0,0,275,1600,900
Nehiri vs Xotune v29.73,#0001,Xotune v29.73,0,1,6,293,5,275,1600,900
Funerth vs Doyama Mk VII,#0001,Funerth,0,-1,4,0,0,645,1600,900
