uid,number,squadron,name,value,weapon,gimbal,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
Pecury vs Cotania,#0004,Pecury,Tanerth,0.611,Arc Gun,G360,SC600,T10,S15,C100,75,-2,24,0,81.75,391,1600,900
Pecury vs Cotania,#0004,Pecury,Ieria,0.589,Plasma Cannon,G60,SC600,T20,S8,C100,75,-1,130,0,134.26,391,1600,900
Pecury vs Cotania,#0004,Pecury,Xaphus,0.567,Pulse Rifle,G60,SC700,T15,S15,C150,125,-12,87,1,327.40,391,1600,900
Pecury vs Cotania,#0004,Pecury,Qaclite,0.417,Pulse Rifle,G90,SC800,T15,S4,C100,75,-7,60,0,177.43,391,1600,900
Pecury vs Cotania,#0004,Pecury,Ruwei Mk XC,0.411,Pulse Rifle,G240,SC500,T10,S6,C125,100,-15,90,0,190.45,391,1600,900
Pecury vs Cotania,#0005,Cotania,Cotania,0.750,Plasma Cannon,G180,SC800,T12,S12,C150,125,10,110,0,,391,1600,900
Pecury vs Cotania,#0005,Cotania,Qotania,0.611,Pulse Rifle,G180,SC400,T20,S10,C175,150,14,81,1,,391,1600,900
Pecury vs Cotania,#0005,Cotania,Ioyama Mk XCVII,0.494,Phase Rifle,G120,SC300,T10,S8,C175,150,25,208,3,,391,1600,900
Pecury vs Cotania,#0005,Cotania,Juclite v19.94,0.478,Arc Gun,G120,SC400,T12,S12,C100,75,50,75,0,,391,1600,900
Pecury vs Cotania,#0005,Cotania,Jecury v8.29,0.355,Fusion Cannon,G180,SC400,T10,S6,C100,75,5,96,2,,391,1600,900
Pecury vs Cotania,#0005,Cotania,Lerilia,0.334,Pulse Rifle,G60,SC300,T12,S10,C125,100,0,42,0,201.36,391,1600,900
