uid,squadron,name,value,weapon,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,-1,48,0,134.53,216,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,-1,80,0,106.37,216,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,73,100,0,,198,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,161,39,1,,198,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,60,140,1,,198,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,37,152,1,,198,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,64,144,0,,198,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,6,160,3,,198,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,-1,80,1,145.08,279,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,69,84,1,,279,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,153,210,1,,279,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,-7,128,1,228.74,279,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,65,128,0,,279,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,-1,144,2,214.26,279,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,93,160,0,,220,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,137,75,0,,220,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,0,140,0,210.63,220,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,45,200,1,,220,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,74,160,3,,220,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,59,112,2,,220,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,25,190,1,,342,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,160,72,1,,342,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,65,170,2,,342,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,37,136,1,,342,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,-10,96,1,288.31,342,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,-7,64,0,83.10,342,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,34,300,1,,417,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,92,72,2,,417,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,-5,100,0,206.31,417,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,-9,152,1,249.01,417,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,-9,112,0,215.25,417,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,-6,144,2,259.51,417,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,50,140,2,,288,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,155,72,1,,288,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,100,210,2,,288,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,13,184,1,,288,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,-5,64,0,227.33,288,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,0,16,0,71.76,288,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,-1,40,1,78.04,234,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,88,51,0,,234,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,56,150,1,,234,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,7,176,2,,234,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,17,128,1,,234,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,-9,112,1,120.68,234,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,-7,100,1,227.51,289,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,155,72,0,,289,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,-3,60,0,170.26,289,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,73,192,1,,289,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,34,256,3,,289,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,25,112,1,,289,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,84,120,0,,179,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,178,27,0,,179,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,151,120,2,,179,720,720
